Titles,Runtime,User Rating,Metascore,Votes,Gross,Genre
Star Wars: Episode VII - The Force Awakens,138,7.8,80,887665,936.66,Action
Avengers: Endgame,181,8.4,78,951205,858.37,Action
Avatar,162,7.8,83,1160171,760.51,Action
Black Panther,134,7.3,88,681500,700.06,Action
Avengers: Infinity War,149,8.4,68,933216,678.82,Action
Jurassic World,124,7.0,59,603301,652.27,Action
The Avengers,143,8.0,69,1312745,623.28,Action
Star Wars: Episode VIII - The Last Jedi,152,6.9,84,591367,620.18,Action
Incredibles 2,118,7.6,80,270632,608.58,Animation
The Lion King,118,6.8,55,227644,543.64,Animation
The Dark Knight,152,9.0,84,2431907,534.86,Action
Rogue One: A Star Wars Story,133,7.8,65,582979,532.18,Action
Star Wars: The Rise Of Skywalker,141,6.5,53,406030,515.20,Action
Beauty and the Beast,129,7.1,65,289676,504.01,Adventure
Finding Dory,97,7.3,77,255911,486.30,Animation
Frozen II,103,6.8,64,153479,477.37,Animation
Avengers: Age of Ultron,141,7.3,66,795511,459.01,Action
The Dark Knight Rises,164,8.4,78,1585463,448.14,Action
Shrek 2,93,7.2,75,438046,436.47,Animation
Toy Story 4,100,7.7,84,224481,434.04,Animation
Captain Marvel,123,6.8,64,496007,426.83,Action
The Hunger Games: Catching Fire,146,7.5,76,635111,424.67,Action
Pirates of the Caribbean: Dead Man's Chest,151,7.3,53,678083,423.32,Action
Jurassic World: Fallen Kingdom,128,6.2,51,284690,417.72,Action
Toy Story 3,103,8.2,92,789118,415.00,Animation
Wonder Woman,141,7.4,76,614006,412.56,Action
Iron Man Three,130,7.1,62,794649,409.01,Action
Captain America: Civil War,147,7.8,75,713210,408.08,Action
The Hunger Games,142,7.2,68,875461,408.01,Action
Jumanji: Welcome to the Jungle,119,6.9,58,346949,404.52,Action
Spider-Man,121,7.3,73,729145,403.71,Action
Transformers: Revenge of the Fallen,149,6.0,35,395150,402.11,Action
Frozen,102,7.4,75,593970,400.74,Animation
Spider-Man: Far from Home,129,7.4,69,385631,390.53,Action
Guardians of the Galaxy Vol. 2,136,7.6,67,614723,389.81,Action
Harry Potter and the Deathly Hallows: Part 2,130,8.1,85,806732,381.01,Adventure
